Licence Status,Fuel Type,Pre - 1970,1970 - 1979,1980 - 1989,1990 - 1999,2000 - 2009,2010 - 2019,2020 - 2029
Total(4)(5),,56146,49318,61413,493615,1583252,1141359,109445
Licensed (1),PETROL,27955,19231,18525,254344,1317805,861042,81448
Licensed (1),DIESEL,49,119,2405,54621,42069,150897,12195
Licensed (1),ELECTRIC,8,3,3,12,17,15703,2386
Licensed (1),PETROL HYBRID,0,0,0,19,10133,58763,11255
Licensed (1),DIESEL HYBRID,0,0,0,0,0,48,6
Licensed (1),PETROL ELECTRIC HYBRID,0,0,0,0,109,954,21
Licensed (1),DIESEL ELECTRIC HYBRID,0,0,0,1,2,2,0
Licensed (1),PLUGIN PETROL HYBRID,0,0,0,0,1,4688,1058
Licensed (1),PLUGIN DIESEL HYBRID,0,0,0,0,1,18,0
Licensed (1),ELECTRIC [PETROL EXTENDED],0,0,0,0,1,422,5
Licensed (1),ELECTRIC [DIESEL EXTENDED],0,0,0,0,0,1,0
Licensed (1),ELECTRIC FUEL CELL HYDROGEN,0,0,0,0,0,4,1
Licensed (1),CNG,0,1,0,0,1,1,0
Licensed (1),LPG,5,5,4,2,255,244,0
Licensed (1),OTHER,16,10,0,1,1,1,0
On exemption (2),PETROL,22667,24311,29740,75178,45162,3868,16
On exemption (2),DIESEL,99,337,3218,13061,2396,774,6
On exemption (2),ELECTRIC,0,0,5,9,1,28,0
On exemption (2),PETROL HYBRID,0,0,0,26,141,184,2
On exemption (2),PETROL ELECTRIC HYBRID,0,0,0,0,1,3,0
On exemption (2),PLUGIN PETROL HYBRID,0,0,0,0,0,7,0
On exemption (2),ELECTRIC [PETROL EXTENDED],0,0,0,0,0,1,0
On exemption (2),CNG,0,1,3,1,0,0,0
On exemption (2),LPG,1,8,18,9,127,6,0
On exemption (2),OTHER,40,19,8,0,1,0,0
Unlicenced (3),PETROL,5274,5210,6552,84139,159848,33942,759
Unlicenced (3),DIESEL,23,58,930,12171,4325,7207,187
Unlicenced (3),ELECTRIC,0,0,0,4,1,405,26
Unlicenced (3),PETROL HYBRID,0,0,0,11,752,1951,55
Unlicenced (3),DIESEL HYBRID,0,0,0,0,0,1,0
Unlicenced (3),PETROL ELECTRIC HYBRID,0,0,0,0,5,29,0
Unlicenced (3),DIESEL ELECTRIC HYBRID,0,0,0,0,1,1,0
Unlicenced (3),PLUGIN PETROL HYBRID,0,0,0,0,0,124,19
Unlicenced (3),ELECTRIC [PETROL EXTENDED],0,0,0,0,0,13,0
Unlicenced (3),ELECTRIC [DIESEL EXTENDED],0,0,0,0,0,1,0
Unlicenced (3),LPG,1,2,1,5,96,26,0
Unlicenced (3),OTHER,8,3,1,1,0,0,0
